Rk,Season,Team,Comp,W,MP,W,D,L,Pts,Pts/MP,LgRank,Min,Subs,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm
1,2019-2020,Liverpool,eng Premier League,32,38,32,3,3,99,2.61,1st,3420,127,85,33,52,62.9,15,39.5,78,5,5,0
2,2023-2024,Inter,it Serie A,29,38,29,7,2,94,2.47,1st,3420,190,89,22,67,57.1,21,55.3,74,13,14,1
3,2023-2024,Real Madrid,es La Liga,29,38,29,8,1,95,2.5,1st,3420,164,87,26,61,59.2,21,55.3,83,2,5,3
4,2021-2022,Manchester City,eng Premier League,29,38,29,6,3,93,2.45,1st,3420,79,99,26,73,67.9,21,55.3,89,7,9,2
5,2023-2024,Arsenal,eng Premier League,28,38,28,5,5,89,2.34,2nd,3420,154,91,29,62,58.2,18,47.4,76,10,10,0
6,2023-2024,Leverkusen,de Bundesliga,28,34,28,6,0,90,2.65,1st,3060,142,89,24,65,61.8,16,47.1,79,8,8,0
7,2023-2024,Manchester City,eng Premier League,28,38,28,7,3,91,2.39,1st,3420,115,96,34,62,65.2,13,34.2,85,9,10,1
8,2022-2023,Napoli,it Serie A,28,38,28,6,4,90,2.37,1st,3420,181,77,28,49,61.8,18,47.4,67,8,10,2
9,2022-2023,Manchester City,eng Premier League,28,38,28,5,5,89,2.34,1st,3420,123,94,33,61,64.7,13,34.2,83,9,10,1
10,2022-2023,Barcelona,es La Liga,28,38,28,4,6,88,2.32,1st,3420,168,70,20,50,64.3,26,68.4,69,0,2,2
11,2021-2022,Liverpool,eng Premier League,28,38,28,8,2,92,2.42,2nd,3420,111,94,26,68,62.7,21,55.3,87,7,8,1
12,2020-2021,Inter,it Serie A,28,38,28,7,3,91,2.39,1st,3420,162,89,35,54,52.5,14,36.8,76,8,9,1
13,2022-2023,Paris S-G,fr Ligue 1,27,38,27,4,7,85,2.24,1st,3420,149,89,40,49,60.7,13,34.2,81,5,7,2
14,2020-2021,Manchester City,eng Premier League,27,38,27,5,6,86,2.26,1st,3420,77,83,32,51,63.5,19,50,77,5,9,4
15,2023-2024,Barcelona,es La Liga,26,38,26,7,5,85,2.24,2nd,3420,161,79,44,35,64.3,17,44.7,70,6,7,1
16,2022-2023,Arsenal,eng Premier League,26,38,26,6,6,84,2.21,2nd,3420,150,88,43,45,59.3,14,36.8,81,3,4,1
17,2021-2022,Real Madrid,es La Liga,26,38,26,8,4,86,2.26,1st,3420,163,80,31,49,59.9,16,42.1,72,8,12,4
18,2021-2022,Milan,it Serie A,26,38,26,8,4,86,2.26,1st,3420,173,69,31,38,54,18,47.4,61,5,8,3
19,2021-2022,Paris S-G,fr Ligue 1,26,38,26,8,4,86,2.26,1st,3420,140,90,36,54,63,13,34.2,81,7,8,1
20,2020-2021,Paris S-G,fr Ligue 1,26,38,26,4,8,82,2.16,2nd,3420,160,86,28,58,63.1,19,50,72,12,13,1
21,2020-2021,Atlético Madrid,es La Liga,26,38,26,8,4,86,2.26,1st,3420,148,67,25,42,52.3,18,47.4,60,5,7,2
22,2019-2020,Bayern Munich,de Bundesliga,26,34,26,4,4,82,2.41,1st,3060,104,100,32,68,65.1,15,44.1,91,6,6,0
23,2019-2020,Real Madrid,es La Liga,26,38,26,9,3,87,2.29,1st,3420,120,70,25,45,58.8,19,50,58,11,11,0
24,2019-2020,Manchester City,eng Premier League,26,38,26,3,9,81,2.13,2nd,3420,120,102,35,67,66.2,17,44.7,94,6,11,5
25,2019-2020,Juventus,it Serie A,26,38,26,5,7,83,2.18,1st,3420,127,76,43,33,58.1,12,31.6,60,13,14,1
26,2023-2024,Girona,es La Liga,25,38,25,6,7,81,2.13,3rd,3420,167,85,46,39,56.9,12,31.6,77,7,8,1
27,2022-2023,Lens,fr Ligue 1,25,38,25,9,4,84,2.21,2nd,3420,169,68,29,39,55.6,15,39.5,60,6,9,3
28,2021-2022,Inter,it Serie A,25,38,25,9,4,84,2.21,2nd,3420,186,84,32,52,56.5,15,39.5,76,7,11,4
29,2020-2021,Real Madrid,es La Liga,25,38,25,9,4,84,2.21,2nd,3420,137,67,28,39,59.3,17,44.7,61,3,3,0
30,2019-2020,Barcelona,es La Liga,25,38,25,7,6,82,2.16,2nd,3420,123,86,38,48,66.4,15,39.5,78,6,6,0
31,2023-2024,Liverpool,eng Premier League,24,38,24,10,4,82,2.16,3rd,3420,166,86,41,45,61.3,10,26.3,74,6,9,3
32,2023-2024,Atlético Madrid,es La Liga,24,38,24,4,10,76,2,4th,3420,183,70,43,27,50.8,13,34.2,63,5,6,1
33,2022-2023,Real Madrid,es La Liga,24,38,24,6,8,78,2.05,2nd,3420,151,75,36,39,60.9,13,34.2,64,9,12,3
34,2021-2022,Bayern Munich,de Bundesliga,24,34,24,5,5,77,2.26,1st,3060,149,97,37,60,64.5,11,32.4,87,5,5,0
35,2021-2022,Napoli,it Serie A,24,38,24,7,7,79,2.08,3rd,3420,172,74,31,43,58.3,16,42.1,64,10,14,4
36,2020-2021,Monaco,fr Ligue 1,24,38,24,6,8,78,2.05,3rd,3420,180,76,42,34,55.8,15,39.5,64,12,15,3
37,2020-2021,Bayern Munich,de Bundesliga,24,34,24,6,4,78,2.29,1st,3060,137,99,44,55,60.7,9,26.5,89,9,10,1
38,2020-2021,Barcelona,es La Liga,24,38,24,7,7,79,2.08,3rd,3420,158,85,38,47,65.5,14,36.8,76,4,8,4
39,2020-2021,Milan,it Serie A,24,38,24,7,7,79,2.08,2nd,3420,156,74,41,33,51.7,14,36.8,57,15,20,5
40,2020-2021,Napoli,it Serie A,24,38,24,5,9,77,2.03,5th,3420,169,86,41,45,55.1,14,36.8,76,7,8,1
41,2020-2021,Lille,fr Ligue 1,24,38,24,11,3,83,2.18,1st,3420,169,64,23,41,53.8,21,55.3,57,5,5,0
42,2020-2021,Sevilla,es La Liga,24,38,24,5,9,77,2.03,4th,3420,184,53,33,20,60.9,17,44.7,46,6,7,1
43,2019-2020,Lazio,it Serie A,24,38,24,6,8,78,2.05,4th,3420,137,79,42,37,50.4,11,28.9,62,15,18,3
44,2019-2020,Inter,it Serie A,24,38,24,10,4,82,2.16,2nd,3420,134,81,36,45,54.2,14,36.8,70,10,11,1
45,2023-2024,Bayern Munich,de Bundesliga,23,34,23,3,8,72,2.12,3rd,3060,143,94,45,49,61.3,11,32.4,88,5,5,0
46,2023-2024,Stuttgart,de Bundesliga,23,34,23,4,7,73,2.15,2nd,3060,157,78,39,39,59.9,12,35.3,73,5,8,3
47,2022-2023,Atlético Madrid,es La Liga,23,38,23,8,7,77,2.03,3rd,3420,168,70,33,37,50.6,13,34.2,67,1,1,0
48,2022-2023,Inter,it Serie A,23,38,23,3,12,72,1.89,3rd,3420,187,71,42,29,55.7,13,34.2,64,4,5,1
49,2022-2023,Manchester Utd,eng Premier League,23,38,23,6,9,75,1.97,3rd,3420,149,58,43,15,53.7,17,44.7,53,3,3,0
50,2020-2021,Juventus,it Serie A,23,38,23,9,6,78,2.05,4th,3420,146,77,38,39,56.9,8,21.1,68,8,10,2
51,2020-2021,Atalanta,it Serie A,23,38,23,9,6,78,2.05,3rd,3420,176,90,47,43,54.6,11,28.9,84,6,7,1
52,2019-2020,Atalanta,it Serie A,23,38,23,9,6,78,2.05,3rd,3420,134,98,48,50,57.2,10,26.3,89,7,10,3
53,2023-2024,Paris S-G,fr Ligue 1,22,34,22,10,2,76,2.24,1st,3060,141,81,33,48,65.2,12,35.3,71,7,9,2
54,2023-2024,Milan,it Serie A,22,38,22,9,7,75,1.97,2nd,3420,176,76,49,27,56.9,13,34.2,70,6,8,2
55,2022-2023,Juventus,it Serie A,22,38,22,6,10,72,1.89,7th,3420,169,56,33,23,49.6,20,52.6,53,3,6,3
56,2022-2023,Dortmund,de Bundesliga,22,34,22,5,7,71,2.09,2nd,3060,151,83,44,39,58.2,12,35.3,77,4,6,2
57,2022-2023,Lazio,it Serie A,22,38,22,8,8,74,1.95,2nd,3420,149,60,30,30,52.1,21,55.3,53,6,8,2
58,2022-2023,Marseille,fr Ligue 1,22,38,22,7,9,73,1.92,3rd,3420,163,67,40,27,56.7,10,26.3,55,6,7,1
59,2021-2022,Tottenham,eng Premier League,22,38,22,5,11,71,1.87,4th,3420,106,69,40,29,51.8,16,42.1,58,5,5,0
60,2021-2022,Dortmund,de Bundesliga,22,34,22,3,9,69,2.03,2nd,3060,142,85,52,33,59.2,7,20.6,70,11,11,0
61,2021-2022,Arsenal,eng Premier League,22,38,22,3,13,69,1.82,5th,3420,110,61,48,13,52.8,13,34.2,55,5,8,3
62,2020-2021,Lyon,fr Ligue 1,22,38,22,10,6,76,2,4th,3420,175,81,43,38,54.9,11,28.9,65,11,11,0
63,2019-2020,Paris S-G,fr Ligue 1,22,27,22,2,3,68,2.52,1st,2430,79,75,24,51,65.2,14,51.9,65,6,8,2
64,2023-2024,Atalanta,it Serie A,21,38,21,6,11,69,1.82,4th,3420,188,72,42,30,51,15,39.5,67,5,5,0
65,2022-2023,Real Sociedad,es La Liga,21,38,21,8,9,71,1.87,4th,3420,178,51,35,16,54.6,15,39.5,45,2,4,2
66,2022-2023,Rennes,fr Ligue 1,21,38,21,5,12,68,1.79,4th,3420,174,69,39,30,55.4,13,34.2,63,3,3,0
67,2022-2023,Bayern Munich,de Bundesliga,21,34,21,8,5,71,2.09,1st,3060,155,92,38,54,64.2,11,32.4,87,3,5,2
68,2021-2022,Marseille,fr Ligue 1,21,38,21,8,9,71,1.87,2nd,3420,144,63,38,25,61.7,15,39.5,51,10,10,0
69,2021-2022,Barcelona,es La Liga,21,38,21,10,7,73,1.92,2nd,3420,159,68,38,30,64.2,11,28.9,62,6,7,1
70,2021-2022,Chelsea,eng Premier League,21,38,21,11,6,74,1.95,3rd,3420,111,76,33,43,61.8,16,42.1,67,8,9,1
71,2021-2022,Atlético Madrid,es La Liga,21,38,21,8,9,71,1.87,3rd,3420,170,65,43,22,50.6,12,31.6,59,4,5,1
72,2020-2021,Manchester Utd,eng Premier League,21,38,21,11,6,74,1.95,2nd,3420,99,73,44,29,55.7,13,34.2,60,10,11,1
73,2020-2021,Lazio,it Serie A,21,38,21,5,12,68,1.79,6th,3420,189,61,55,6,53,12,31.6,53,6,10,4
74,2019-2020,Dortmund,de Bundesliga,21,34,21,6,7,69,2.03,2nd,3060,111,84,41,43,60.4,15,44.1,82,2,2,0
75,2019-2020,Roma,it Serie A,21,38,21,7,10,70,1.84,5th,3420,131,77,51,26,52.7,7,18.4,61,12,14,2
76,2023-2024,Aston Villa,eng Premier League,20,38,20,8,10,68,1.79,4th,3420,151,76,61,15,53.1,8,21.1,68,4,4,0
77,2023-2024,Monaco,fr Ligue 1,20,34,20,7,7,67,1.97,2nd,3060,125,68,42,26,53.6,12,35.3,64,2,5,3
78,2023-2024,Tottenham,eng Premier League,20,38,20,6,12,66,1.74,5th,3420,170,74,61,13,61.6,7,18.4,67,2,2,0
79,2022-2023,Milan,it Serie A,20,38,20,10,8,70,1.84,4th,3420,183,64,43,21,55.6,12,31.6,56,5,5,0
80,2022-2023,RB Leipzig,de Bundesliga,20,34,20,6,8,66,1.94,3rd,3060,158,64,41,23,58.1,10,29.4,58,6,7,1
81,2021-2022,Rennes,fr Ligue 1,20,38,20,6,12,66,1.74,4th,3420,168,82,40,42,55.9,14,36.8,77,4,4,0
82,2021-2022,Nice,fr Ligue 1,20,38,20,7,11,67,1.76,5th,3420,169,52,36,16,51.5,14,36.8,44,8,10,2
83,2021-2022,Monaco,fr Ligue 1,20,38,20,9,9,69,1.82,3rd,3420,168,65,40,25,54.1,11,28.9,53,9,9,0
84,2021-2022,Juventus,it Serie A,20,38,20,10,8,70,1.84,4th,3420,161,57,37,20,51.5,13,34.2,51,5,6,1
85,2020-2021,Liverpool,eng Premier League,20,38,20,9,9,69,1.82,3rd,3420,104,68,42,26,62.1,12,31.6,59,6,6,0
86,2020-2021,Leicester City,eng Premier League,20,38,20,6,12,66,1.74,5th,3420,99,68,50,18,54.3,11,28.9,54,10,12,2
87,2020-2021,Dortmund,de Bundesliga,20,34,20,4,10,64,1.88,3rd,3060,139,75,46,29,59.6,11,32.4,71,3,7,4
88,2019-2020,Gladbach,de Bundesliga,20,34,20,5,9,65,1.91,4th,3060,112,66,40,26,52.4,7,20.6,60,4,6,2
89,2019-2020,Chelsea,eng Premier League,20,38,20,6,12,66,1.74,4th,3420,117,69,54,15,60.4,9,23.7,62,7,7,0
90,2023-2024,RB Leipzig,de Bundesliga,19,34,19,8,7,65,1.91,4th,3060,165,77,39,38,55.3,10,29.4,70,4,7,3
91,2023-2024,Juventus,it Serie A,19,38,19,14,5,71,1.87,3rd,3420,173,54,31,23,48.5,17,44.7,49,3,5,2
92,2023-2024,Athletic Club,es La Liga,19,38,19,11,8,68,1.79,5th,3420,188,61,37,24,49.8,18,47.4,56,3,5,2
93,2022-2023,Monaco,fr Ligue 1,19,38,19,8,11,65,1.71,6th,3420,155,70,58,12,48.2,9,23.7,64,5,8,3
94,2022-2023,Lille,fr Ligue 1,19,38,19,10,9,67,1.76,5th,3420,142,65,44,21,60.5,10,26.3,54,11,12,1
95,2022-2023,Newcastle Utd,eng Premier League,19,38,19,14,5,71,1.87,4th,3420,155,68,33,35,52.3,14,36.8,58,6,6,0
96,2022-2023,Atalanta,it Serie A,19,38,19,7,12,64,1.68,5th,3420,175,66,48,18,49.9,9,23.7,58,6,8,2
97,2022-2023,Liverpool,eng Premier League,19,38,19,10,9,67,1.76,5th,3420,164,75,47,28,60.8,14,36.8,69,2,4,2
98,2022-2023,Villarreal,es La Liga,19,38,19,7,12,64,1.68,5th,3420,172,59,40,19,56.9,12,31.6,53,4,7,3
99,2021-2022,Fiorentina,it Serie A,19,38,19,5,14,62,1.63,7th,3420,179,59,51,8,57.7,11,28.9,50,9,12,3
100,2021-2022,Leverkusen,de Bundesliga,19,34,19,7,8,64,1.88,3rd,3060,154,80,47,33,53.7,8,23.5,74,2,6,4
101,2021-2022,Betis,es La Liga,19,38,19,8,11,65,1.71,5th,3420,161,62,40,22,53.7,13,34.2,54,6,6,0
102,2020-2021,West Ham,eng Premier League,19,38,19,8,11,65,1.71,6th,3420,99,62,47,15,43.2,11,28.9,58,2,4,2
103,2020-2021,Chelsea,eng Premier League,19,38,19,10,9,67,1.76,4th,3420,108,58,36,22,60.9,18,47.4,48,8,10,2
104,2020-2021,RB Leipzig,de Bundesliga,19,34,19,8,7,65,1.91,2nd,3060,154,60,32,28,59.7,15,44.1,51,8,10,2
105,2019-2020,Sevilla,es La Liga,19,38,19,13,6,70,1.84,4th,3420,133,54,34,20,57.9,17,44.7,46,7,7,0
106,2019-2020,Leverkusen,de Bundesliga,19,34,19,6,9,63,1.85,5th,3060,113,61,44,17,63.2,10,29.4,55,2,2,0
107,2019-2020,Milan,it Serie A,19,38,19,9,10,66,1.74,6th,3420,128,63,46,17,54.9,12,31.6,52,8,9,1
108,2023-2024,Manchester Utd,eng Premier League,18,38,18,6,14,60,1.58,8th,3420,153,57,58,-1,50.6,9,23.7,51,6,7,1
109,2023-2024,Bologna,it Serie A,18,38,18,14,6,68,1.79,5th,3420,174,54,32,22,58.1,17,44.7,48,4,5,1
110,2023-2024,Dortmund,de Bundesliga,18,34,18,9,7,63,1.85,5th,3060,153,68,43,25,57.8,10,29.4,62,6,6,0
111,2023-2024,Lazio,it Serie A,18,38,18,7,13,61,1.61,7th,3420,183,49,39,10,53.3,13,34.2,42,4,4,0
112,2023-2024,Newcastle Utd,eng Premier League,18,38,18,6,14,60,1.58,7th,3420,149,85,62,23,52.2,10,26.3,75,8,9,1
113,2023-2024,Chelsea,eng Premier League,18,38,18,9,11,63,1.66,6th,3420,148,77,63,14,58.6,8,21.1,65,11,12,1
114,2023-2024,Roma,it Serie A,18,38,18,9,11,63,1.66,6th,3420,171,65,46,19,54.9,11,28.9,53,11,12,1
115,2022-2023,Lyon,fr Ligue 1,18,38,18,8,12,62,1.63,7th,3420,141,65,47,18,58.1,8,21.1,57,6,8,2
116,2022-2023,Brighton,eng Premier League,18,38,18,8,12,62,1.63,6th,3420,143,72,53,19,60.2,12,31.6,62,6,6,0
117,2022-2023,Roma,it Serie A,18,38,18,9,11,63,1.66,6th,3420,168,50,38,12,48.6,14,36.8,43,7,10,3
118,2022-2023,Aston Villa,eng Premier League,18,38,18,7,13,61,1.61,7th,3420,144,51,46,5,49.3,12,31.6,46,3,4,1
